z,a,symbol,ordering,"energy [keV]",halflife,spin,"magnetic dipole [nm]","electric quadrupole [b]",reference_standard,method,description,citation_01,doi_01,citation_02,doi_02,citation_03,doi_03,citation_04,doi_04,citation_05,doi_05
72,177,Hf,90,321,"0.66 ns",9/2+,-0.73(9),,,IPAC,"Integral Perturbed Angular Correlation",1969HU06,10.1016/0375-9474(69)91032-X,,,,,,,,
72,178,Hf,10,93,"1.49 ns",2+,+0.48(3),,,CEAD,"Integral Perturbed Angular Distribution after Coulomb Excitation",1968BE04,10.1016/0375-9474(68)90568-X,,,,,,,,
72,178,Hf,20,,,,+0.60(4),,,IPAC,"Integral Perturbed Angular Correlation",1962KA14,,,,,,,,,
72,178,Hf,30,,,,,-2.02(2),,Mu-X,"Muonic X-ray Hyperfine Structure",1984TA10,10.1103/PhysRevC.30.350,,,,,,,,
72,178,Hf,40,1147,"4 s",8-,+3.10(1),,"[178m Hf 1]",CLS,"Resonance Cell Laser Spectroscopy",2007BI14,10.1016/j.physletb.2006.12.054,,,,,,,,
72,178,Hf,50,,,,,+4.99(4),"[177,179Hf]",CLS,"Resonance Cell Laser Spectroscopy",2007BI14,10.1016/j.physletb.2006.12.054,,,,,,,,
72,178,Hf,60,1554,"77 ns",6+,+5.84(5),,,TDPAD,"Time Dependent Perturbed Angular Distribution",1980WA23,10.1016/0375-9474(80)90439-X,,,,,,,,
72,178,Hf,70,,,,+5.89(9),,,TDPAD,"Time Dependent Perturbed Angular Distribution",1978FA17,10.1007/BF01021828,,,,,,,,
72,178,Hf,80,2446,"31 y",16+,+8.16(4),,[177Hf],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1994BO15,10.1103/PhysRevLett.72.2689,,,,,,,,
72,178,Hf,90,,,,,+6.00(7),[177Hf],CFBLS,"Collinear Fast Beam Laser Spectroscopy - Accelerated Beam",1994BO15,10.1103/PhysRevLett.72.2689,,,,,,,,
72,179,Hf,10,0,stable,9/2+,-0.6409(13),,,AB/D,"Atomic Beam Magnetic Resonance (direct moment measurement)",1973BU25,10.1007/BF01448975,,,,,,,,
72,179,Hf,30,,,,,+3.93(5),,Pi-X,"Pionic X-ray Hyperfine Structure",1983OL03,10.1016/0375-9474(83)90623-1,,,,,,,,
72,179,Hf,50,123,"37 ps",11/2+,,1.88(3),,Mu-X,"Muonic X-ray Hyperfine Structure",1984TA10,10.1103/PhysRevC.30.350,,,,,,,,
72,179,Hf,60,1106,"25.1 d",25/2-,7.4(3),,"[177Hf 113.]",NO/S,"Static Nuclear Orientation with gamma detection",1975HU15,10.1103/PhysRevC.12.2013,,,,,,,,
72,180,Hf,10,93,"1.52 ns",2+,+0.61(3),,,IPAC,"Integral Perturbed Angular Correlation",1996AL20,10.1007/s002180050124,,,,,,,,
72,180,Hf,20,,,,+0.51(8),,"[178Hf 93.]",ME,"Mossbauer Effect",1972JHZZ,,,,,,,,,
